Reaction_type,P,S1,S2,pred_best_methods,pred_best_methods_str,pred_best_score,error,pred_AM-I_P,pred_AM-I_S1,pred_AM-I_S2,pred_AM-II_P,pred_AM-II_S1,pred_AM-II_S2,pred_score_AM-I,pred_score_AM-II,pred_score_AM-III,pred_score_AM-IV,pred_score_AM-V,pred_score_AM-VI,pred_AM-IV_P,pred_AM-IV_S1,pred_AM-IV_S2,pred_AM-III_P,pred_AM-III_S1,pred_AM-III_S2,pred_AM-VI_P,pred_AM-VI_S1,pred_AM-VI_S2,pred_AM-V_P,pred_AM-V_S1,pred_AM-V_S2
acylation,CC(NC(=O)Cc1ccc2c(c1)OCO2)c1cccc2ccccc12,C[C@H](N)c1cccc2ccccc12,O=C(O)Cc1ccc2c(c1)OCO2,['AM-III'],AM-III,1,,,,,,,,0.9915730378108856,0.6841409649096333,1,0.7541481230838822,0.6300739167869545,0.9335370393907952,,,,88.80802550124332,79.33057700041702,67.25061373059825,,,,,,
acylation,Cc1ccc(NC(=O)c2cc3ccccc3s2)nc1,Cc1ccc(N)nc1,O=C(O)c1cc2ccccc2s1,['AM-III'],AM-III,1,,,,,,,,0.6774669742588839,0.8514913308956372,1,0.6412527441412399,0.9505244879191996,0.8996908357541986,,,,87.51272380186396,60.23665310857932,77.40734060908414,,,,,,
acylation,Cc1ccc(NC(=O)Cc2ccc([N+](=O)[O-])cc2)cc1,Cc1ccc(N)cc1,O=C(O)Cc1ccc([N+](=O)[O-])cc1,['AM-I'],AM-I,1,,76.45689401703513,49.33059974412717,62.331269160367626,,,,1,0.8252809410648435,0.9863831236098541,0.9092356719044147,0.6982194011929315,0.8216891935493869,,,,,,,,,,,,
acylation,COc1ncc(Br)cc1C(=O)Nc1ccc(C)cc1,Cc1ccc(N)cc1,COc1ncc(Br)cc1C(=O)O,['AM-I'],AM-I,1,,82.61783618851219,49.33059974412717,63.03119071001732,,,,1,0.9736347643345286,0.990823100153606,0.9653533532269704,0.6470476703596284,0.9724938268776433,,,,,,,,,,,,
acylation,Cc1ccc(NC(=O)C2Cc3ccccc3C2)cc1,Cc1ccc(N)cc1,O=C(O)C1Cc2ccccc2C1,['AM-I'],AM-I,1,,81.38779223389771,49.33059974412717,63.22363811879916,,,,1,0.8451279363864539,0.965434978957161,0.8781191490022311,0.6030919721758485,0.9763008950319181,,,,,,,,,,,,
acylation,Cc1ccc(NC(=O)c2cc3ccccc3s2)cc1,Cc1ccc(N)cc1,O=C(O)c1cc2ccccc2s1,['AM-I'],AM-I,1,,82.56164394142505,49.33059974412717,65.58910738472012,,,,1,0.8610216739097398,0.9688347882193468,0.9531562025727399,0.7619082802471102,0.9641423130365753,,,,,,,,,,,,
acylation,COc1ccc(NC(=O)c2cc(C)nc(Cl)c2)cn1,COc1ccc(N)cn1,Cc1cc(C(=O)O)cc(Cl)n1,['AM-I'],AM-I,1,,68.25108563967643,37.66017850268299,54.61782950927192,,,,1,0.6952403970879177,0.9741952812964935,0.9115038344850628,0.7272491186006125,0.8387174046143913,,,,,,,,,,,,
acylation,COc1ccc(NC(=O)c2cc(Br)cnc2OC)cn1,COc1ccc(N)cn1,COc1ncc(Br)cc1C(=O)O,['AM-I'],AM-I,1,,73.28403269820484,37.66017850268299,63.03119071001732,,,,1,0.7200302570629622,0.9371412499795235,0.8410193220548319,0.7187611479027631,0.873959952884411,,,,,,,,,,,,
acylation,COc1ccc(NC(=O)c2cc(F)ccc2C)cn1,COc1ccc(N)cn1,Cc1ccc(F)cc1C(=O)O,['AM-I'],AM-I,1,,71.61942920249464,37.66017850268299,58.163981278457314,,,,1,0.691934413981521,0.9908073907671511,0.7602481976617171,0.9412595528793247,0.8367061768222641,,,,,,,,,,,,
acylation,COc1ccc(NC(=O)c2ccc(Br)s2)cn1,COc1ccc(N)cn1,O=C(O)c1ccc(Br)s1,['AM-I'],AM-I,1,,71.38594623677263,37.66017850268299,62.3617593590684,,,,1,0.6520380131753314,0.9782088736415232,0.8388284352428556,0.958729322133422,0.8294016262903933,,,,,,,,,,,,
