feature,importance
col75,28.211936950683594
fp_596,28.21099281311035
col712,28.172536849975586
col27,28.1673583984375
fp_292,28.12835121154785
fp_385,27.722625732421875
fp_125,27.682382583618164
fp_963,27.519662857055664
fp_9,27.498226165771484
fp_44,27.41457176208496
fp_453,27.240337371826172
fp_1005,27.15143585205078
fp_103,26.98822784423828
fp_568,26.928964614868164
fp_902,26.838037490844727
fp_623,26.822999954223633
fp_406,26.422948837280273
fp_447,26.219297409057617
fp_690,26.090539932250977
fp_107,26.081308364868164
fp_764,26.058441162109375
fp_1022,26.025012969970703
fp_763,25.99319076538086
fp_326,25.967601776123047
fp_167,25.937963485717773
fp_226,25.84044075012207
fp_945,25.768163681030273
col70,25.731815338134766
fp_864,25.635465621948242
fp_608,25.446178436279297
fp_612,25.435693740844727
fp_482,25.357547760009766
fp_89,25.31662940979004
fp_375,25.246274948120117
fp_213,25.23272132873535
fp_431,25.22670555114746
fp_735,25.150739669799805
col328,25.040203094482422
fp_507,25.00510025024414
fp_209,24.8453311920166
fp_137,24.84421157836914
fp_252,24.783802032470703
fp_897,24.753055572509766
fp_166,24.548742294311523
fp_918,24.52472496032715
fp_351,24.374982833862305
col794,24.300565719604492
fp_766,24.262104034423828
fp_187,24.116533279418945
fp_848,23.829301834106445
fp_327,23.49445152282715
fp_729,23.238046646118164
fp_230,23.231830596923828
col817,23.180740356445312
fp_554,23.075824737548828
fp_106,23.036724090576172
fp_850,22.844484329223633
fp_83,22.7414493560791
fp_804,22.543245315551758
fp_526,22.523487091064453
col349,22.301616668701172
fp_96,22.250141143798828
fp_457,22.161468505859375
col62,22.149002075195312
fp_863,22.046119689941406
fp_474,21.991918563842773
fp_157,21.97991180419922
fp_151,21.804779052734375
fp_874,21.801034927368164
fp_134,21.787939071655273
fp_432,21.726213455200195
fp_535,21.71114730834961
fp_620,21.67396354675293
fp_24,21.523265838623047
fp_156,21.509231567382812
fp_359,21.172828674316406
fp_722,21.12491226196289
fp_411,21.112396240234375
fp_413,21.112144470214844
fp_769,21.056690216064453
fp_256,20.986164093017578
fp_349,20.980642318725586
fp_105,20.906423568725586
fp_508,20.838930130004883
fp_666,20.798542022705078
fp_738,20.71824836730957
fp_645,20.560434341430664
col344,20.44866180419922
fp_479,20.380197525024414
fp_46,20.326887130737305
fp_88,20.244091033935547
fp_972,20.180776596069336
